# source-commit	beff256b491e20508eab0319b23547ff145cfd04
# cargo-lock-sha256	01b65d23eb9d3c589b7f50bd79d9f0ebc7454e836f0abd05734b838952c5437a
package	version	declared_license	source
tracing-serde	0.2.0	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-subscriber	0.3.22	MIT	registry+https://github.com/rust-lang/crates.io-index
typenum	1.19.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unarray	0.1.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicase	2.9.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-bom	2.0.3	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-ident	1.0.23	(MIT OR Apache-2.0) AND Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
unicode-normalization	0.1.25	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-segmentation	1.12.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-width	0.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-xid	0.2.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unit-prefix	0.5.2	MIT	registry+https://github.com/rust-lang/crates.io-index
unsafe-libyaml	0.2.11	MIT	registry+https://github.com/rust-lang/crates.io-index
utf8parse	0.2.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
valuable	0.1.1	MIT	registry+https://github.com/rust-lang/crates.io-index
vcpkg	0.2.15	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
vergen	9.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
vergen-gix	9.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
vergen-lib	9.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
version_check	0.9.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wait-timeout	0.2.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
walkdir	2.5.0	Unlicense/MIT	registry+https://github.com/rust-lang/crates.io-index
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasip2	1.0.1+wasi-0.2.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen	0.2.108	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro	0.2.108	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro-support	0.2.108	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-shared	0.2.108	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-encoder	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasm-metadata	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasmparser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
web-sys	0.3.85	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
web-time	1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi	0.3.9	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi-i686-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi-util	0.1.11	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-core	0.62.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-implement	0.60.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-interface	0.59.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-link	0.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-result	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-strings	0.5.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.59.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.60.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.61.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.53.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnu	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnullvm	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_msvc	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnu	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnullvm	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_msvc	0.53.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winnow	0.7.14	MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen	0.46.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-core	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-rust	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-rust-macro	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-component	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-parser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
yaml-rust	0.4.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
zerocopy	0.8.39	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zerocopy-derive	0.8.39	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zlib-rs	0.5.5	Zlib	registry+https://github.com/rust-lang/crates.io-index
zmij	1.0.20	MIT	registry+https://github.com/rust-lang/crates.io-index
