# source-commit	beff256b491e20508eab0319b23547ff145cfd04
# cargo-lock-sha256	01b65d23eb9d3c589b7f50bd79d9f0ebc7454e836f0abd05734b838952c5437a
package	version	declared_license	source
derive_more-impl	2.1.1	MIT	registry+https://github.com/rust-lang/crates.io-index
difflib	0.4.0	MIT	registry+https://github.com/rust-lang/crates.io-index
digest	0.10.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
document-features	0.2.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
dunce	1.0.5	CC0-1.0 OR MIT-0 OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
dyn-clone	1.0.20	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
either	1.15.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
encode_unicode	1.0.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
encoding_rs	0.8.35	(Apache-2.0 OR MIT) AND BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
equivalent	1.0.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
errno	0.3.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
fallible-iterator	0.3.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
fallible-streaming-iterator	0.1.9	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
fancy-regex	0.14.0	MIT	registry+https://github.com/rust-lang/crates.io-index
faster-hex	0.10.0	MIT	registry+https://github.com/rust-lang/crates.io-index
fastrand	2.3.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
filetime	0.2.27	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
find-msvc-tools	0.1.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
flate2	1.1.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
float-cmp	0.10.0	MIT	registry+https://github.com/rust-lang/crates.io-index
fnv	1.0.7	Apache-2.0 / MIT	registry+https://github.com/rust-lang/crates.io-index
foldhash	0.1.5	Zlib	registry+https://github.com/rust-lang/crates.io-index
foldhash	0.2.0	Zlib	registry+https://github.com/rust-lang/crates.io-index
generic-array	0.14.7	MIT	registry+https://github.com/rust-lang/crates.io-index
getopts	0.2.24	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.3.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gimli	0.32.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix	0.77.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-actor	0.37.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-attributes	0.29.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-bitmap	0.2.16	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-chunk	0.4.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-command	0.6.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-commitgraph	0.31.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-config	0.50.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-config-value	0.16.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-date	0.12.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-diff	0.57.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-dir	0.19.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-discover	0.45.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-features	0.45.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-filter	0.24.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-fs	0.18.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-glob	0.23.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-hash	0.21.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-hashtable	0.11.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-ignore	0.18.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-index	0.45.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-lock	20.0.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-object	0.54.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-odb	0.74.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-pack	0.64.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-packetline	0.20.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-path	0.10.22	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
